ticker,cap_group,end_date,year,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,CostOfRevenue,CostOfGoodsAndServicesSold,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,OperatingExpenses,OperatingIncomeLoss,InterestExpense,InterestAndDebtExpense,NonoperatingIncomeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,DepreciationAndAmortization,DepreciationDepletionAndAmortization,AmortizationOfIntangibleAssets,ShareBasedCompensation,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,ShortTermInvestments,AvailableForSaleSecuritiesCurrent,AccountsReceivableNetCurrent,InventoryNet,PrepaidExpenseAndOtherAssetsCurrent,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill,LongTermInvestments,OtherAssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,DeferredRevenueCurrent,ShortTermBorrowings,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoncurrent,DeferredTaxLiabilitiesNoncurrent,OtherLiabilitiesNoncurrent,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,CommonStocksIncludingAdditionalPaidInCapital,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLossNetOfTax,TreasuryStockValue,CommonStockSharesOutstanding,CommonStockSharesIssued,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,ProceedsFromSaleAndMaturityOfMarketableSecurities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,ProceedsFromIssuanceOfLongTermDebt,RepaymentsOfLongTermDebt,ProceedsFromRepaymentsOfShortTermDebt,CashAndCashEquivalentsPeriodIncreaseDecrease,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
NVDA,large_cap,2013-10-27,2013,1053967000.0,,,469552000.0,,584415000.0,999193000.0,320025000.0,1319218000.0,329303000.0,2508000.0,,,,48293000.0,118734000.0,,0.2,0.2,594363000.0,600108000.0,184310000.0,,55600000.0,100091000.0,5711373000.0,4049841000.0,,562084000.0,,,,447631000.0,380319000.0,81701000.0,595418000.0,643179000.0,320589000.0,,,,985927000.0,,333283000.0,652644000.0,282658000.0,,,,,204364000.0,387784000.0,4320647000.0,,,3407889000.0,3406154000.0,5862000.0,2499990000.0,,,434434000.0,,293659000.0,,-898795000.0,,188812000.0,17145000.0,,447134000.0,850000000.0,133007000.0,,,,-170702000.0,
NVDA,large_cap,2014-01-26,2014,1144218000.0,,,524976000.0,,619242000.0,,,,,,,,,,146917000.0,,0.26,0.25,,,,,,,7250894000.0,5624711000.0,,1152000000.0,,,,426357000.0,387765000.0,70285000.0,582740000.0,643179000.0,296012000.0,,,,945496000.0,,324391000.0,621105000.0,265616000.0,,1356375000.0,,,157953000.0,475125000.0,4456398000.0,,,3483342000.0,3504742000.0,4877000.0,2537295000.0,,,,,,,,,,,,,,,,,,,
NVDA,large_cap,2014-04-27,2014,1103000000.0,,,499000000.0,,604000000.0,334000000.0,119000000.0,453000000.0,151000000.0,11000000.0,,,,26000000.0,137000000.0,,0.24,0.24,559000000.0,570000000.0,55000000.0,,19000000.0,36000000.0,6864663000.0,5273798000.0,,509000000.0,,,,396438000.0,393280000.0,71067000.0,570802000.0,643179000.0,277530000.0,,,,897945000.0,,309008000.0,588937000.0,265668000.0,,1363276000.0,,,175236000.0,419774000.0,4166985000.0,,,3492140000.0,3594527000.0,6364000.0,2926789000.0,,,151000000.0,,-330000000.0,,-464000000.0,,29000000.0,,,134000000.0,500000000.0,47000000.0,,,,-643000000.0,
NVDA,large_cap,2014-07-27,2014,1103000000.0,,,484000000.0,,619000000.0,672000000.0,237000000.0,909000000.0,314000000.0,23000000.0,,,,53000000.0,128000000.0,,0.23,0.22,559000000.0,571000000.0,111000000.0,,38000000.0,74000000.0,6933719000.0,5377586000.0,,515000000.0,,,,469625000.0,387434000.0,67776000.0,556911000.0,643179000.0,260613000.0,,,,868729000.0,,261627000.0,607102000.0,265704000.0,,1370249000.0,,,192702000.0,374113000.0,4304786000.0,,,3682742000.0,3675071000.0,4378000.0,3058149000.0,,,247000000.0,,-394000000.0,,-490000000.0,,52000000.0,,,451000000.0,500000000.0,94000000.0,,,,-637000000.0,
NVDA,large_cap,2014-10-26,2014,1225000000.0,,,548000000.0,,677000000.0,1011000000.0,361000000.0,1372000000.0,528000000.0,35000000.0,,,,90000000.0,173000000.0,,0.32,0.31,555000000.0,566000000.0,166000000.0,,58000000.0,115000000.0,6885869000.0,5341109000.0,,395000000.0,,,,563400000.0,408081000.0,67333000.0,566601000.0,643179000.0,241301000.0,,,,933907000.0,,328097000.0,605810000.0,240829000.0,,1377259000.0,,,210388000.0,355133000.0,4204593000.0,,,3783099000.0,3801966000.0,9761000.0,3390985000.0,,,463000000.0,,-409000000.0,,-811000000.0,,91000000.0,0.0,,688000000.0,810000000.0,140000000.0,,,,-757000000.0,
NVDA,large_cap,2015-01-25,2015,1251000000.0,,,552000000.0,,699000000.0,,,,,,,,,,193000000.0,,0.35,0.35,,,,,,,7201000000.0,5713000000.0,,497000000.0,,,,474000000.0,483000000.0,70000000.0,557000000.0,618000000.0,222000000.0,,,,896000000.0,,293000000.0,603000000.0,,,1384000000.0,,,232000000.0,489000000.0,4418000000.0,,,3855000000.0,3949000000.0,8000000.0,3395000000.0,,,,,,,,,,,,,,,,,,,
NVDA,large_cap,2015-04-26,2015,1151000000.0,,,498000000.0,,653000000.0,339000000.0,138000000.0,477000000.0,176000000.0,12000000.0,,,,38000000.0,134000000.0,,0.24,0.24,549000000.0,568000000.0,54000000.0,,19000000.0,45000000.0,7291000000.0,5832000000.0,,464000000.0,,,,455000000.0,438000000.0,89000000.0,547000000.0,618000000.0,205000000.0,,,,883000000.0,,222000000.0,661000000.0,,,1391000000.0,,,254000000.0,448000000.0,4556000000.0,,,3986000000.0,4037000000.0,8000000.0,3476000000.0,,,246000000.0,,-235000000.0,,-44000000.0,,30000000.0,,,238000000.0,53000000.0,46000000.0,,,,-33000000.0,
NVDA,large_cap,2015-07-26,2015,1153000000.0,,,519000000.0,,634000000.0,658000000.0,289000000.0,1036000000.0,250000000.0,22000000.0,,,,84000000.0,26000000.0,,0.05,0.05,545000000.0,563000000.0,103000000.0,,38000000.0,93000000.0,6979000000.0,5608000000.0,,435000000.0,,,,514000000.0,441000000.0,89000000.0,497000000.0,618000000.0,190000000.0,,,,936000000.0,,277000000.0,659000000.0,,,1399000000.0,,,292000000.0,447000000.0,4185000000.0,,,3938000000.0,4010000000.0,1000000.0,3765000000.0,,,409000000.0,,12000000.0,,-483000000.0,,54000000.0,,,487000000.0,452000000.0,99000000.0,,,,-62000000.0,
NVDA,large_cap,2015-10-25,2015,1305000000.0,,,572000000.0,,733000000.0,987000000.0,441000000.0,1525000000.0,495000000.0,35000000.0,,,,83000000.0,247000000.0,,0.45,0.44,544000000.0,563000000.0,151000000.0,,56000000.0,145000000.0,7174000000.0,5834000000.0,,471000000.0,,,,536000000.0,425000000.0,93000000.0,477000000.0,618000000.0,172000000.0,,,,855000000.0,,295000000.0,560000000.0,,,1406000000.0,,,325000000.0,437000000.0,4465000000.0,,,4170000000.0,4204000000.0,2000000.0,3912000000.0,,,664000000.0,,-187000000.0,,-503000000.0,,71000000.0,,,872000000.0,452000000.0,152000000.0,,,,-26000000.0,
NVDA,large_cap,2016-01-31,2016,1401000000.0,,,610000000.0,,791000000.0,,,,,,,,,,207000000.0,,0.38,0.35,,,,,,,7370000000.0,6053000000.0,,596000000.0,,,,505000000.0,418000000.0,93000000.0,466000000.0,618000000.0,166000000.0,,,2814000000.0,2351000000.0,,296000000.0,642000000.0,,,0.0,,,301000000.0,453000000.0,4469000000.0,,,4170000000.0,4350000000.0,-4000000.0,4048000000.0,,,,,,,,,,,,,,,,,,,
