end_date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,ticker,Issuance Of Capital Stock,Effect Of Exchange Rate Changes,Common Stock Issuance,Net Business Purchase And Sale,Purchase Of Business,Change In Other Working Capital,Change In Tax Payable,Change In Income Tax Payable,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Proceeds From Stock Option Exercised,Sale Of Business,Change In Accrued Expense,Change In Prepaid Assets,Gain Loss On Sale Of Business,Capital Expenditure Reported,Amortization Cash Flow,Amortization Of Intangibles,Interest Paid Supplemental Data,Provisionand Write Offof Assets,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Sale Of PPE,Pension And Employee Benefit Expense,Short Term Debt Issuance,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Cash From Discontinued Financing Activities,Earnings Losses From Equity Investments,Net Preferred Stock Issuance,Preferred Stock Issuance,Gain Loss On Sale Of PPE,Other Cash Adjustment Outside Changein Cash,Amortization Of Securities,Net Foreign Currency Exchange Gain Loss,Change In Interest Payable,cap_group
2024-12-31,4310000000.0,-1750000000.0,-500000000.0,500000000.0,-277000000.0,,8713000000.0,7849000000.0,908000000.0,-3008000000.0,-3008000000.0,-316000000.0,-942000000.0,-942000000.0,-1750000000.0,-1750000000.0,0.0,0.0,-500000000.0,,,,-671000000.0,-671000000.0,28000000.0,-162000000.0,752000000.0,-914000000.0,,,4587000000.0,4587000000.0,33000000.0,,148000000.0,-530000000.0,11000000.0,11000000.0,111000000.0,392000000.0,392000000.0,-23000000.0,759000000.0,436000000.0,436000000.0,3180000000.0,QCOM,,-44000000.0,,-260000000.0,-260000000.0,-88000000.0,,,,,247000000.0,247000000.0,,-45000000.0,-45000000.0,,,-541000000.0,,,-277000000.0,,,,,,,,,500000000.0,,0.0,,,,,,,,,,large_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,QCOM,187000000.0,,187000000.0,,,,,,,20000000.0,,,,,,,,,,,,,,,,,,0.0,,,4000000.0,0.0,0.0,,,,,,,,,large_cap
2024-06-30,,,,,,,,,,,,,,,,,,,,-914000000.0,-914000000.0,0.0,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,QCOM,1000000.0,,1000000.0,,,,,,,4000000.0,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,large_cap
2024-12-31,194709000.0,-125010000.0,,,-8073000.0,,1152898000.0,1078340000.0,78126000.0,-114683000.0,-114683000.0,-13368000.0,,,-125010000.0,-125010000.0,,,,,,,-9973000.0,-9973000.0,,-1900000.0,0.0,-1900000.0,-8073000.0,-8073000.0,202782000.0,202782000.0,-41859000.0,-10051000.0,-91613000.0,6554000.0,,,3139000.0,-98188000.0,-98188000.0,9566000.0,57908000.0,22666000.0,22666000.0,166445000.0,FFIV,,-3568000.0,,,,148300000.0,,,,,-11944000.0,-11944000.0,,,,23695000.0,,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
2024-09-30,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,62721000.0,62721000.0,,,,,,,,,FFIV,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,mid_cap
2024-06-30,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,-1423000.0,-1423000.0,,,,,,,,,FFIV,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,mid_cap
2024-10-31,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEN,,,,21682000.0,21682000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,mid_cap
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEN,,,,-5426000.0,-5426000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,mid_cap
2024-12-31,301000000.0,-201000000.0,-1000000.0,0.0,-112000000.0,,2333000000.0,2601000000.0,-225000000.0,-203000000.0,-203000000.0,-1000000.0,,,-201000000.0,-201000000.0,-1000000.0,,,-1000000.0,-1000000.0,0.0,-435000000.0,-435000000.0,18000000.0,,,,-107000000.0,-112000000.0,413000000.0,413000000.0,6000000.0,,,,,,,,,,,144000000.0,144000000.0,263000000.0,FLEX,,-43000000.0,,-346000000.0,-346000000.0,,,,,,,,144000000.0,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,mid_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,483000000.0,-16000000.0,499000000.0,,,,,,,,,,,,,,,,,,,,,,,,,FLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mid_cap
