end_date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Salaries And Wages,Average Dilution Earnings,Net Income Discontinuous Operations,Gain On Sale Of Ppe,Provision For Doubtful Accounts,Earnings From Equity Interest Net Of Tax,Other Special Charges,Minority Interests,Gain On Sale Of Business,Total Other Finance Cost,Preferred Stock Dividends,Impairment Of Capital Assets,Otherunder Preferred Stock Dividend,cap_group
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM,,,,,,,,,,,,,,,,,0.0,,35000000.0,,,,,,,,,,large_cap
2024-12-31,-35720000.0,0.19,5333000000.0,1641000000.0,3064000000.0,11444000000.0,5145000000.0,2081000000.0,90000000.0,92000000.0,182000000.0,1793280000.0,1641000000.0,23699000000.0,1900000000.0,1637000000.0,1620000000.0,1.0,1.01,1641000000.0,1641000000.0,1641000000.0,1641000000.0,1641000000.0,381000000.0,1989000000.0,-187000000.0,1000000.0,90000000.0,92000000.0,182000000.0,2086000000.0,10639000000.0,6456000000.0,2735000000.0,12725000000.0,13060000000.0,25785000000.0,25785000000.0,AMD,-188000000.0,-188000000.0,-186000000.0,,-2000000.0,,,,186000000.0,2000000.0,-48000000.0,1448000000.0,1448000000.0,1448000000.0,1448000000.0,,,0.0,,,33000000.0,,,,,,,,large_cap
2023-12-31,210000.0,0.21,4050000000.0,854000000.0,3453000000.0,10636000000.0,4051000000.0,598000000.0,100000000.0,106000000.0,206000000.0,853210000.0,854000000.0,22279000000.0,401000000.0,1625000000.0,1614000000.0,0.53,0.53,854000000.0,854000000.0,854000000.0,854000000.0,854000000.0,-346000000.0,492000000.0,-9000000.0,-10000000.0,100000000.0,106000000.0,206000000.0,401000000.0,10059000000.0,5872000000.0,2318000000.0,10460000000.0,12220000000.0,22680000000.0,22680000000.0,AMD,1000000.0,1000000.0,0.0,,1000000.0,,,,0.0,-1000000.0,-34000000.0,1869000000.0,1869000000.0,1869000000.0,1869000000.0,,,0.0,,,16000000.0,,,,,,,,large_cap
2022-12-31,0.0,0.21,5534000000.0,1320000000.0,4262000000.0,10836000000.0,5534000000.0,1272000000.0,-23000000.0,88000000.0,65000000.0,1320000000.0,1320000000.0,22337000000.0,1264000000.0,1571000000.0,1561000000.0,0.84,0.85,1320000000.0,1320000000.0,1320000000.0,1320000000.0,1320000000.0,-122000000.0,1184000000.0,-57000000.0,5000000.0,-23000000.0,88000000.0,65000000.0,1264000000.0,9339000000.0,5005000000.0,2336000000.0,10603000000.0,12998000000.0,23601000000.0,23601000000.0,AMD,0.0,0.0,0.0,,,,,,0.0,-62000000.0,-102000000.0,2100000000.0,2100000000.0,2100000000.0,2100000000.0,,0.0,,,,14000000.0,,,,,,,,large_cap
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD,,,,,,,,,,56000000.0,-12000000.0,,,,,,0.0,,,,,7000000.0,,,,,,,large_cap
2024-01-31,-207460000.0,0.164,11223000000.0,4136000000.0,3959000000.0,5473000000.0,9958000000.0,5999000000.0,,,,5193540000.0,4136000000.0,28858000000.0,5011000000.0,984000000.0,974000000.0,4.2,4.25,4136000000.0,4136000000.0,4136000000.0,4136000000.0,4136000000.0,814000000.0,4950000000.0,-1049000000.0,216000000.0,,,,5999000000.0,20317000000.0,4906000000.0,14520000000.0,26316000000.0,8541000000.0,34857000000.0,34857000000.0,CRM,-1265000000.0,-1265000000.0,-1454000000.0,466000000.0,189000000.0,11986000000.0,2534000000.0,2534000000.0,988000000.0,,,891000000.0,891000000.0,891000000.0,891000000.0,1062000000.0,,,,,,,,,,,,,large_cap
2023-01-31,-224070000.0,0.21,6711000000.0,208000000.0,3786000000.0,8360000000.0,5644000000.0,1858000000.0,,,,1050930000.0,208000000.0,29494000000.0,1030000000.0,997000000.0,992000000.0,0.21,0.21,208000000.0,208000000.0,208000000.0,208000000.0,208000000.0,452000000.0,660000000.0,-1198000000.0,-131000000.0,,,,1858000000.0,21134000000.0,5055000000.0,16079000000.0,22992000000.0,8360000000.0,31352000000.0,31352000000.0,CRM,-1067000000.0,-1067000000.0,-1319000000.0,491000000.0,252000000.0,13526000000.0,2553000000.0,2553000000.0,828000000.0,,,916000000.0,916000000.0,916000000.0,916000000.0,1256000000.0,,,,,,,,,,,,,large_cap
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRM,,,,,,,,,,,,,,,,1104000000.0,,,,,,,,,,,,,large_cap
2024-12-31,-1571430000.0,0.21,8686000000.0,-18756000000.0,11379000000.0,35756000000.0,1203000000.0,-10176000000.0,981000000.0,1034000000.0,1805000000.0,-12844430000.0,-18756000000.0,57809000000.0,-11678000000.0,4280000000.0,4280000000.0,-4.38,-4.38,-18756000000.0,-18756000000.0,-18756000000.0,-19233000000.0,-19233000000.0,8023000000.0,-11210000000.0,-7483000000.0,,981000000.0,1034000000.0,1805000000.0,-4708000000.0,22053000000.0,16546000000.0,5507000000.0,17345000000.0,35756000000.0,53101000000.0,53101000000.0,INTC,-7483000000.0,-7483000000.0,-7317000000.0,3978000000.0,-166000000.0,,,,2481000000.0,,,,,,,,,,,,,858000000.0,477000000.0,0.0,-210000000.0,,,,large_cap
2023-12-31,21420000.0,0.21,11140000000.0,1689000000.0,9602000000.0,32517000000.0,11242000000.0,1640000000.0,629000000.0,878000000.0,1335000000.0,1608420000.0,1689000000.0,54197000000.0,93000000.0,4212000000.0,4190000000.0,0.4,0.4,1689000000.0,1689000000.0,1689000000.0,1675000000.0,1675000000.0,-913000000.0,762000000.0,102000000.0,,629000000.0,878000000.0,1335000000.0,31000000.0,21680000000.0,16046000000.0,5634000000.0,21711000000.0,32517000000.0,54228000000.0,54228000000.0,INTC,102000000.0,102000000.0,-152000000.0,259000000.0,254000000.0,,,,222000000.0,,,,,,,,,,,,,-329000000.0,14000000.0,0.0,-172000000.0,,,,large_cap
2022-12-31,1105860000.0,0.21,16033000000.0,8014000000.0,13035000000.0,36188000000.0,21299000000.0,8264000000.0,166000000.0,496000000.0,589000000.0,3853860000.0,8014000000.0,60718000000.0,2334000000.0,4123000000.0,4108000000.0,1.94,1.95,8014000000.0,8014000000.0,8014000000.0,8017000000.0,8017000000.0,-249000000.0,7768000000.0,5266000000.0,,166000000.0,496000000.0,589000000.0,2336000000.0,24530000000.0,17528000000.0,7002000000.0,26866000000.0,36188000000.0,63054000000.0,63054000000.0,INTC,5266000000.0,5266000000.0,808000000.0,341000000.0,4458000000.0,,,,1038000000.0,,,,,,,,,,,,,-1187000000.0,-3000000.0,1000000000.0,-73000000.0,,,,large_cap
2024-09-30,-1860000.0,0.02,12832000000.0,10110000000.0,1706000000.0,17060000000.0,12739000000.0,11033000000.0,-22000000.0,697000000.0,675000000.0,10201140000.0,10142000000.0,28709000000.0,10071000000.0,1130000000.0,1116000000.0,8.97,9.09,10142000000.0,10142000000.0,10142000000.0,10142000000.0,10110000000.0,226000000.0,10336000000.0,105000000.0,198000000.0,-22000000.0,697000000.0,675000000.0,10253000000.0,11649000000.0,8893000000.0,2759000000.0,21902000000.0,17060000000.0,38962000000.0,38962000000.0,QCOM,-93000000.0,-93000000.0,-261000000.0,79000000.0,168000000.0,,,,,,-3000000.0,,,,,,,32000000.0,,,,,,,,,,,large_cap
2023-09-30,-9120000.0,0.01,10858000000.0,7339000000.0,1809000000.0,15869000000.0,9946000000.0,8137000000.0,-381000000.0,694000000.0,313000000.0,8241880000.0,7232000000.0,27170000000.0,7788000000.0,1126000000.0,1117000000.0,6.42,6.47,7232000000.0,7232000000.0,7232000000.0,7232000000.0,7339000000.0,104000000.0,7443000000.0,-826000000.0,86000000.0,-381000000.0,694000000.0,313000000.0,8650000000.0,11301000000.0,8818000000.0,2483000000.0,19951000000.0,15869000000.0,35820000000.0,35820000000.0,QCOM,-912000000.0,-912000000.0,-994000000.0,132000000.0,82000000.0,,,,,,862000000.0,,,,,,,-107000000.0,,,,,,,,,,,large_cap
2022-09-30,-41860000.0,0.13,17572000000.0,12986000000.0,1762000000.0,18635000000.0,17250000000.0,15488000000.0,-399000000.0,490000000.0,91000000.0,13266140000.0,12936000000.0,28340000000.0,15860000000.0,1137000000.0,1123000000.0,11.37,11.52,12936000000.0,12936000000.0,12936000000.0,12936000000.0,12986000000.0,2012000000.0,14998000000.0,-463000000.0,-141000000.0,-399000000.0,490000000.0,91000000.0,15860000000.0,9705000000.0,8194000000.0,2570000000.0,25565000000.0,18635000000.0,44200000000.0,44200000000.0,QCOM,-322000000.0,-322000000.0,-47000000.0,47000000.0,-275000000.0,,,,,-7000000.0,-1059000000.0,,,,,,,-50000000.0,,,,,,,,,,,large_cap
