Ticker,Date,sent_avg,heat_pub,heat_read,pub_count,pos_count,neg_count,neu_count,pos_ratio,neg_ratio,sent_ma5,sent_ma10,sent_momentum,controversy
NVDA,2015-02-19,0.0182,0.25,0.0,50,3,2,15,0.06,0.04,0.54078,0.3847399999999999,-0.52258,0.0392156862745098
NVDA,2015-02-20,0.064,1.0417,0.0,39,2,2,3,0.0512820512820512,0.0512820512820512,0.36446,0.36727,-0.30046,0.05
NVDA,2015-02-23,0.064,1.25,0.0,40,2,7,6,0.05,0.175,0.18814,0.3498,-0.12414,0.1707317073170731
NVDA,2015-02-24,0.2552,1.4583,0.0,57,6,8,6,0.1052631578947368,0.1403508771929824,0.0500599999999999,0.35356,0.20514,0.1379310344827586
NVDA,2015-02-25,-0.0746,1.4583,0.0,72,3,6,12,0.0416666666666666,0.0833333333333333,0.06536,0.33811,-0.13996,0.0821917808219178
NVDA,2015-02-26,-0.2454,0.875,0.0,55,2,4,13,0.0363636363636363,0.0727272727272727,0.0126399999999999,0.27671,-0.25804,0.0714285714285714
NVDA,2015-02-27,0.0,0.9583,0.0,53,2,4,8,0.0377358490566037,0.0754716981132075,-0.00016,0.1821499999999999,0.00016,0.074074074074074
NVDA,2015-03-02,0.0,1.625,0.0,41,1,1,4,0.024390243902439,0.024390243902439,-0.01296,0.0875899999999999,0.01296,0.0238095238095238
NVDA,2015-03-03,0.0,1.1667,0.0,95,5,1,10,0.0526315789473684,0.0105263157894736,-0.064,-0.00697,0.064,0.0104166666666666
NVDA,2015-03-04,0.0,3.2917,0.0,238,7,1,59,0.0294117647058823,0.0042016806722689,-0.04908,0.0081399999999999,0.04908,0.00418410041841
NVDA,2015-03-05,0.0,1.5833,0.0,228,15,2,64,0.0657894736842105,0.0087719298245614,0.0,0.0063199999999999,0.0,0.0087336244541484
NVDA,2015-03-06,0.0,1.2917,0.0,108,1,2,15,0.0092592592592592,0.0185185185185185,0.0,-8.00000000000023e-05,0.0,0.018348623853211
NVDA,2015-03-09,0.0,1.0417,0.0,59,2,1,3,0.0338983050847457,0.0169491525423728,0.0,-0.00648,0.0,0.0166666666666666
